,comp_produced_prod_mean,price_produced_prod_mean,prod_sp_val_dist,output_all_prdcts,price_produced_prod_std,delta_coefficient,share_produced_products,prod_sp_val_alct,prod_space_struc,max_info
39,2.920566384584512,160.4260530309694,"normal_[0, 1]",1342.5,90.1442627050475,100,0.28,degree_centrality,powerlaw_cluster_4_0.7,0.01
40,2.9514014909889514,182.7046676648141,"normal_[0, 1]",1221.0,92.1473466921361,100,0.28,degree_centrality,powerlaw_cluster_4_0.7,0.01
41,3.1425700756959536,159.4785174330994,"normal_[0, 1]",739.5,86.26709711431046,100,0.16,degree_centrality,powerlaw_cluster_4_0.7,0.01
42,3.2848106087245044,217.66251954368903,"normal_[0, 1]",755.5,123.54282575446028,100,0.18,degree_centrality,powerlaw_cluster_4_0.7,0.01
43,2.3738414347389734,144.16279745343112,"normal_[0, 1]",673.5,139.69749482670903,100,0.14,degree_centrality,powerlaw_cluster_4_0.7,0.01
44,4.224251281195987,4.446580295995775,"normal_[0, 1]",1.0,0.0,100,0.01,degree_centrality,powerlaw_cluster_4_0.7,0.01
45,3.06806000648831,187.95796372779992,"normal_[0, 1]",870.5,106.29023252816827,100,0.2,degree_centrality,powerlaw_cluster_4_0.7,0.01
46,2.357646427061876,134.97046274046448,"normal_[0, 1]",1086.0,81.79930302143245,100,0.24,degree_centrality,powerlaw_cluster_4_0.7,0.01
47,3.095048237635166,169.75233965690353,"normal_[0, 1]",1061.5,94.51083258310676,100,0.23,degree_centrality,powerlaw_cluster_4_0.7,0.01
48,3.7876768799407117,244.47008422263562,"normal_[0, 1]",857.5,108.43857433707376,100,0.19,degree_centrality,powerlaw_cluster_4_0.7,0.01
49,2.13734900394427,104.97551555627804,"normal_[0, 1]",648.0,85.96402971697525,100,0.13,degree_centrality,powerlaw_cluster_4_0.7,0.01
50,4.445503393352314,130.45033383832137,"normal_[0, 1]",771.0,104.38347150400612,100,0.14,degree_centrality,powerlaw_cluster_4_0.7,0.1
51,4.155497915995192,138.12206625319237,"normal_[0, 1]",540.0,129.02280096418593,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.1
52,3.4836511729381376,166.57038776719773,"normal_[0, 1]",497.0,145.78290028313532,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.1
53,5.175443684519617,252.45250824854548,"normal_[0, 1]",433.0,216.8144560820944,100,0.09,degree_centrality,powerlaw_cluster_4_0.7,0.1
54,4.060202104726549,127.00805455790936,"normal_[0, 1]",426.0,139.77928778307805,100,0.08,degree_centrality,powerlaw_cluster_4_0.7,0.1
55,3.812948195772916,127.55389964332672,"normal_[0, 1]",368.5,119.74609271139141,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.1
56,4.208871712024508,155.57702838933747,"normal_[0, 1]",342.0,186.1143936900818,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.1
57,3.6126406896316414,216.92501840959375,"normal_[0, 1]",771.0,137.84465936309437,100,0.16,degree_centrality,powerlaw_cluster_4_0.7,0.1
58,3.2164759264617766,39.15873433065134,"normal_[0, 1]",486.0,35.517516682008264,100,0.08,degree_centrality,powerlaw_cluster_4_0.7,0.1
59,3.3203462253292213,158.65962758196844,"normal_[0, 1]",434.5,118.82712116395359,100,0.09,degree_centrality,powerlaw_cluster_4_0.7,0.1
60,4.141865536706847,169.09514253527306,"normal_[0, 1]",414.0,128.77240032838122,100,0.08,degree_centrality,powerlaw_cluster_4_0.7,0.1
61,3.8910813812704617,155.73813649651126,"normal_[0, 1]",508.5,149.5218384840417,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.1
62,2.9327315346654332,134.40034358345991,"normal_[0, 1]",620.0,144.4230528724403,100,0.12,degree_centrality,powerlaw_cluster_4_0.7,0.1
63,4.47428555867309,246.30927110386588,"normal_[0, 1]",629.0,174.31588904842786,100,0.13,degree_centrality,powerlaw_cluster_4_0.7,0.1
64,3.5558563652623336,160.34826469854445,"normal_[0, 1]",721.5,121.26868767063856,100,0.14,degree_centrality,powerlaw_cluster_4_0.7,0.1
65,4.7115346155190805,136.90508953755062,"normal_[0, 1]",569.5,126.16428723683315,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.1
66,4.351174046904366,133.84139389215582,"normal_[0, 1]",380.0,158.44589460380416,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.1
67,3.718916210349536,147.23966266985374,"normal_[0, 1]",317.0,157.2169631138897,100,0.06,degree_centrality,powerlaw_cluster_4_0.7,0.1
68,3.1599284263183978,136.58429727123885,"normal_[0, 1]",392.5,106.99792898976759,100,0.08,degree_centrality,powerlaw_cluster_4_0.7,0.1
69,5.460654933452594,239.4012921644421,"normal_[0, 1]",574.5,193.65600803376168,100,0.11,degree_centrality,powerlaw_cluster_4_0.7,0.1
70,3.887807804689309,212.38120233801132,"normal_[0, 1]",456.0,179.154572664803,100,0.09,degree_centrality,powerlaw_cluster_4_0.7,0.1
71,4.406426349238472,130.83452710008834,"normal_[0, 1]",438.5,133.64239107810317,100,0.08,degree_centrality,powerlaw_cluster_4_0.7,0.1
72,3.8605010091276415,162.3452405481847,"normal_[0, 1]",568.5,140.44466183722,100,0.11,degree_centrality,powerlaw_cluster_4_0.7,0.1
73,2.9366764916283112,158.7610947069424,"normal_[0, 1]",730.5,120.1777860419038,100,0.16,degree_centrality,powerlaw_cluster_4_0.7,0.1
74,4.908379536722733,112.22625658034993,"normal_[0, 1]",406.5,136.99528977341734,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.1
75,4.155789513128782,144.61543335051184,"normal_[0, 1]",702.0,109.42134961598974,100,0.13,degree_centrality,powerlaw_cluster_4_0.7,0.1
76,4.217019941564433,95.76189650439692,"normal_[0, 1]",393.5,124.4284912992825,100,0.07,degree_centrality,powerlaw_cluster_4_0.7,0.1
