,comp_produced_prod_mean,price_produced_prod_mean,output_all_prdcts,price_produced_prod_std,share_produced_products,prod_space_struc
76,2.396751530278457,195.10411383931373,1981.5233605,125.11555281702749,0.46,Complete
77,2.281600476049465,208.73003548629544,1639.0,112.69412573003677,0.41,Complete
78,2.2787888091743187,190.9046808195337,1648.5,143.93256885018587,0.38,Complete
79,2.7533711782324266,229.8259905906781,1777.0,157.6338363852161,0.41,Complete
80,2.2675293090039115,193.37872071634231,1850.5,132.38769457445022,0.43,Complete
81,2.677406500673579,233.16082180104743,1924.3825501524807,129.65509581455748,0.46,Complete
82,2.50768395423557,219.6060641720723,1779.0,137.67701965765409,0.42,Complete
83,2.1717000575645544,183.8830625885112,1862.0,122.7815896263346,0.43,Complete
84,2.381185620436179,192.93882662459893,1771.0,138.25939113703683,0.4,Complete
85,2.617289258053188,208.77117170066902,1317.0,135.83906417279348,0.3,Complete
86,2.33749235121564,196.52503632849803,1982.0,137.49559913233242,0.45,Complete
87,2.1218418557020136,186.3902861204946,2136.201749771988,131.68932555457837,0.49,Complete
88,2.7926445749546325,207.58409297417438,1491.0,180.3755457865149,0.32,Complete
89,2.531689727580959,217.01717296299702,1896.0,138.5738933206566,0.44,Complete
90,2.13402066206295,171.72632400783883,2081.0,122.90199884205565,0.47,Complete
91,2.5322005904595084,201.87764700905242,1593.8914520425626,158.46930439149006,0.36,Complete
92,2.261882036389411,198.89111501762255,2283.5,122.70061631297868,0.54,Complete
93,2.232369429749133,181.94870660439514,1883.5,127.66190502866428,0.42,Complete
94,2.5445508544557223,225.4760070572517,2161.5,140.8383254630984,0.52,Complete
95,2.6573090540022464,239.640976227931,1631.5,144.01244577222056,0.4,Complete
96,2.391499714366881,195.12282665496662,1790.5,133.58181968258654,0.41,Complete
97,2.4395595442941,185.94591748226105,2057.5,151.38158305635142,0.44,Complete
98,3.266744079903978,229.99094135057175,1474.5,173.0521526706494,0.32,Complete
99,2.450991622303445,188.9354325739257,1529.0,138.86036968677166,0.34,Complete
100,3.5266996814960194,124.2989895338542,366.0,129.80215570986422,0.07,PLC
101,3.335031642955024,115.27644818737885,416.0,136.76034591677964,0.08,PLC
102,5.24629824927612,197.27571789321186,437.5528318503456,191.63968692006188,0.09,PLC
103,4.828490805636684,202.52333960189569,292.0,192.04372255750351,0.06,PLC
104,4.064160904850439,73.9157605317447,314.0,74.97851849781159,0.05,PLC
105,4.201102797769093,97.65309447928298,406.0,80.127667332401,0.07,PLC
106,4.359002782293931,123.08910647862558,433.5,126.3854724302154,0.08,PLC
107,4.628705886899343,160.15623982587724,300.0,191.3123796381736,0.06,PLC
108,3.1323571254484235,65.49758562589506,488.0,81.34265844682594,0.09,PLC
109,4.236881181379304,93.61460418062315,329.0,83.7587516743268,0.06,PLC
110,4.535945434907336,229.2572457803854,201.0,207.22014964574717,0.05,PLC
111,3.8938056799209706,143.3556436502124,509.0,136.3154597479303,0.1,PLC
112,4.1134720026760005,71.10421026774637,398.0,56.25489951064221,0.07,PLC
113,3.8666659370712204,135.74089649559127,419.0,126.36691255243576,0.08,PLC
114,3.802188840132613,54.21119575281281,218.0,70.48051349978897,0.04,PLC
115,5.090663571719002,224.910107673704,549.5,175.01354187328258,0.11,PLC
116,3.740136792518193,148.66233263355468,289.0,141.5579907104287,0.06,PLC
117,3.5359649573665486,114.43221188046488,306.0,151.84371320867703,0.06,PLC
118,3.549088460472998,172.4014918887093,445.5,125.20633303233437,0.09,PLC
119,4.509787947686318,127.50009657395151,398.5,133.37295816305107,0.07,PLC
